Subject,Overall Frequency,Article-de,Article-en,Book-de,Book-en,Conference-de,Conference-en,Report-de,Report-en,Thesis-de,Thesis-en
Gestaltoptimierung,13,0,0,2,5,0,1,0,1,2,2
Rückmeldung,13,0,0,10,0,0,0,1,0,1,1
Supergravitation,13,0,0,0,8,0,3,0,0,0,2
Totalitarismus,13,0,0,8,2,1,0,0,0,1,1
Chromatographie,13,0,0,1,6,0,0,0,0,1,5
Operationsverstärker,13,0,0,7,5,0,0,0,0,1,0
Infrarotspektroskopie,13,0,0,1,2,0,2,0,1,2,5
Theaterwissenschaft,13,0,0,7,1,4,0,0,0,1,0
Fehleranalyse,13,0,0,4,9,0,0,0,0,0,0
Biotechnologische Industrie,13,0,0,5,4,0,0,1,0,1,2
Mikrobieller Abbau,13,0,0,0,1,0,0,0,0,4,8
Netzwerktopologie,13,0,0,1,4,0,5,1,0,2,0
In situ,13,0,0,0,2,0,0,0,0,4,7
Soziale Rolle,13,0,0,8,3,1,1,0,0,0,0
Massenbewegung Geomorphologie,13,0,0,1,3,0,2,0,0,0,7
Nachbarschaft,13,0,0,7,4,0,0,0,0,1,1
Literaturrecherche,13,0,0,11,2,0,0,0,0,0,0
Montage,13,0,0,3,1,2,1,1,0,5,0
Kurden,13,0,0,11,2,0,0,0,0,0,0
Kommunikationsforschung,13,0,0,10,0,0,0,1,0,1,1
Reaktorunfall,13,0,0,5,5,0,1,0,0,1,1
Megastadt,13,0,0,3,8,1,1,0,0,0,0
Chiffrierung,13,0,0,1,7,0,3,0,0,1,1
Zukunftserwartung,13,0,0,9,1,1,1,1,0,0,0
Elektronischer Transport,13,0,0,0,2,0,0,0,0,6,5
Multimodales System,13,0,0,2,4,0,5,0,1,1,0
Windows 8,13,0,0,4,8,0,0,1,0,0,0
Visuelle Medien,13,0,0,8,2,1,0,0,0,2,0
Politischer Prozess,13,0,0,4,5,0,1,0,1,2,0
Pyrolyse,13,0,0,0,7,0,0,0,0,1,5
ChatGPT,13,0,0,8,3,1,1,0,0,0,0
Sterbebegleitung,13,0,0,7,2,0,0,1,0,3,0
Digitalschaltung,13,0,0,7,4,0,0,1,1,0,0
Wissenschaftlerin,13,0,0,4,6,0,1,1,0,1,0
Schulkind,13,0,0,11,0,0,0,0,0,2,0
Regionalforschung,13,0,0,4,4,3,0,0,0,2,0
Mikrofinanzierung,13,0,0,4,6,0,1,0,0,1,1
Pfadintegral,13,0,0,0,10,0,1,0,0,1,1
Populationsdynamik,13,0,0,0,9,0,0,0,1,2,1
Selbst,13,0,0,10,2,0,0,0,0,0,1
Geometrische Modellierung,13,0,0,2,5,0,4,0,1,1,0
Differenz,13,0,0,5,2,1,0,1,0,4,0
Molekülstruktur,13,0,0,0,12,0,0,0,0,1,0
Wissensverarbeitung,13,0,0,0,7,0,2,0,1,3,0
Heterocyclische Verbindungen,13,0,0,0,4,0,1,0,0,5,3
Lebenskrise,13,0,0,11,0,0,0,0,0,2,0
Ruby on Rails,13,0,0,2,11,0,0,0,0,0,0
Lithografie Halbleitertechnologie,13,0,0,1,8,0,0,0,1,3,0
PHP 5.0,13,0,0,9,3,0,0,1,0,0,0
Kristallstruktur,13,0,0,1,4,0,0,0,0,5,3
Spendensammlung,13,0,0,6,2,0,0,1,0,4,0
Dreißigjähriger Krieg,13,0,0,11,0,1,0,0,0,1,0
Sicherheitsanalyse,13,0,0,1,9,0,1,0,1,1,0
Lorentz-Kraft,13,0,0,0,0,0,0,0,0,12,1
Barrierefreies Bauen,13,0,0,7,3,0,0,1,0,2,0
Lebensmittelrecht,13,0,0,9,1,0,1,1,0,0,1
Telemedizin,13,0,0,1,8,0,3,0,0,0,1
Reichweite,13,0,0,5,1,0,0,1,0,6,0
ANSYS,13,0,0,5,5,0,0,0,0,3,0
Schätzung,13,0,0,1,7,0,1,0,1,2,1
Konvexe Optimierung,13,0,0,0,10,0,0,0,1,0,2
Softwareergonomie,13,0,0,7,2,0,3,1,0,0,0
Tuning,13,0,0,8,4,0,0,0,0,1,0
Stadtgrün,13,0,0,7,4,0,0,2,0,0,0
Jahreslauf,13,0,0,10,0,0,0,0,0,1,2
Mikrowellenschaltung,13,0,0,0,10,0,0,0,1,2,0
Gas,13,0,0,1,6,0,1,0,0,3,2
Konstruieren,13,0,0,3,6,0,1,0,0,3,0
Holozän,13,0,0,4,0,0,0,0,0,4,5
Algebraische Zahlentheorie,13,0,0,3,9,0,0,0,0,1,0
Funktionssicherheit,13,0,0,6,3,1,0,0,0,3,0
Astrobiologie,13,0,0,3,9,0,0,0,0,0,1
Wohlfahrt,13,0,0,4,5,2,0,0,0,1,1
Asymptotische Methode,13,0,0,0,8,0,4,0,1,0,0
Moschee,13,0,0,7,6,0,0,0,0,0,0
Reformpädagogik,13,0,0,8,0,1,0,3,0,1,0
Männlichkeit Motiv,13,0,0,5,2,0,0,0,1,3,2
Architektin,13,0,0,4,7,0,1,0,0,0,1
Klimakatastrophe,13,0,0,11,2,0,0,0,0,0,0
Sonderpädagogische Diagnostik,13,0,0,11,0,0,0,0,0,2,0
Publizistik,13,0,0,7,0,1,1,0,0,4,0
Bildungsprozess,13,0,0,10,0,0,0,0,0,3,0
Social entrepreneurship,13,0,0,8,3,2,0,0,0,0,0
Arzthaftung,13,0,0,3,0,2,0,0,0,8,0
Hubschrauber,13,0,0,6,6,0,0,0,0,1,0
Fenster,13,0,0,8,3,0,0,2,0,0,0
Bilderkennung,13,0,0,0,5,0,5,0,1,1,1
Schulklasse,13,0,0,8,0,1,0,1,0,3,0
Bürgertum,13,0,0,9,1,0,0,0,0,2,1
Elektronenkorrelation,13,0,0,0,10,0,0,1,0,1,1
Compiler,13,0,0,1,3,0,8,0,0,0,1
Freie-Elektronen-Laser,13,0,0,0,8,0,0,0,0,2,3
Sprachkritik,13,0,0,9,0,1,0,2,0,1,0
Imagination,13,0,0,6,2,1,0,0,0,1,3
Militärtechnik,13,0,0,3,7,0,2,0,0,1,0
Umweltsteuer,13,0,0,1,10,0,0,0,0,1,1
Hochschulforschung,13,0,0,8,0,3,0,0,0,2,0
Minderheitenfrage,13,0,0,6,4,0,1,0,1,1,0
Wissenschaftlich-technischer Fortschritt,13,0,0,7,2,2,1,0,1,0,0
Politisches Netzwerk,13,0,0,7,3,0,0,0,0,2,1
Thermoplast,13,0,0,5,5,0,0,1,1,0,1
Kriegswirtschaft,13,0,10,0,2,0,0,0,0,1,0
Paradoxon,13,0,0,4,7,0,1,1,0,0,0
Geometrische Analysis,13,0,0,0,7,0,6,0,0,0,0
Politische Rede,13,0,0,5,4,0,0,0,0,3,1
Integralrechnung,13,0,0,9,4,0,0,0,0,0,0
Emotionales Lernen,13,0,0,10,1,2,0,0,0,0,0
Verhandlungsführung,13,0,0,11,0,0,0,0,0,2,0
Römerzeit,13,0,0,7,4,0,2,0,0,0,0
Bioökonomie,13,0,0,4,7,0,0,0,0,0,2
Gefährdungsanalyse Arbeitsschutz,13,0,0,3,4,0,2,2,0,2,0
Sprachentwicklung,13,0,0,5,3,0,1,0,2,1,1
Strafjustiz,13,0,0,4,7,0,0,0,0,0,2
Organhaftung,13,0,0,1,0,0,0,0,0,9,3
Täuschung,13,0,0,9,1,0,0,0,0,3,0
Homosexueller,13,0,0,9,3,0,0,0,0,1,0
Zitat,13,0,0,9,1,0,0,1,0,1,1
Konsolidierung,13,0,0,6,2,1,0,0,0,4,0
Suche,13,0,0,9,0,0,1,3,0,0,0
Steuerreform,13,0,0,7,2,3,0,0,0,1,0
Pathogenese,13,0,0,1,3,0,0,0,0,6,3
Hamilton-Operator,13,0,0,0,11,0,1,0,0,1,0
Okkultismus,13,0,0,6,4,0,1,0,1,0,1
Textilindustrie,13,0,0,2,4,0,0,1,2,3,1
Glaskeramik,13,0,0,1,3,0,0,0,0,9,0
Störung,13,0,0,4,4,0,0,0,1,4,0
UMTS,13,0,0,4,5,0,1,0,1,1,1
Niederdimensionales System,13,0,0,0,9,0,3,0,0,0,1
Matrizentheorie,13,0,0,0,9,0,3,0,0,0,1
Geoinformation,13,0,0,3,7,0,2,1,0,0,0
Geoinformatik,13,0,0,5,7,0,1,0,0,0,0
Kraftwagen,13,0,0,9,2,0,0,0,0,2,0
Leistungsmotivation,13,0,0,9,2,0,0,0,0,2,0
Gesundheitsrecht,13,0,0,5,2,1,1,0,0,2,2
Jahresabschlussprüfung,13,0,0,6,0,0,0,0,0,7,0
Nutztierhaltung,13,0,0,3,2,2,0,2,1,3,0
Kraftstoff,13,0,0,8,1,1,0,0,1,0,2
Küstengebiet,13,0,0,0,6,0,1,0,1,3,2
Streaming Kommunikationstechnik,13,0,0,4,5,0,2,0,0,2,0
Porträtfotografie,13,0,0,6,2,1,2,1,0,1,0
Holzwerkstoff,13,0,0,11,1,0,1,0,0,0,0
Graphic Novel,13,0,0,4,8,0,0,0,0,1,0
Niedrigenergiehaus,13,0,0,7,4,0,0,0,0,1,1
Nachindustrielle Gesellschaft,13,0,0,7,3,0,1,0,0,2,0
Vielteilchentheorie,13,0,0,0,10,0,1,0,0,2,0
Forschungsergebnis,13,0,0,9,4,0,0,0,0,0,0
Strafe,13,0,0,8,2,0,0,0,0,2,1
Gemeinwesenarbeit,13,0,0,7,3,1,0,0,0,2,0
Topologischer Isolator,13,0,0,0,3,0,0,0,0,0,10
Kulturpädagogik,13,0,0,8,1,3,0,0,0,1,0
Fehlinformation,13,0,0,6,2,0,1,0,0,2,2
Grundschulpädagogik,13,0,0,5,1,4,0,1,0,2,0
Phytoremediation,13,0,0,0,13,0,0,0,0,0,0
Integrationspädagogik,13,0,0,9,0,3,0,0,0,1,0
Ungleichung,13,0,0,1,9,0,1,0,0,0,2
Fahrzeuggetriebe,13,0,0,8,1,0,0,1,0,3,0
Jugendlicher Täter,13,0,0,9,1,0,0,0,0,3,0
Makroökonomisches Modell,13,0,0,2,6,0,0,0,3,1,1
Performance Künste,13,0,0,3,2,2,1,0,1,4,0
Grundbau,13,0,0,9,2,1,0,0,1,0,0
Modernität,13,0,0,4,6,0,0,0,1,2,0
Orogenese,13,0,0,6,4,0,0,0,0,0,3
Politische Führung,13,0,0,5,6,1,0,0,0,1,0
Intuition,13,0,0,8,3,1,0,0,0,1,0
Effizienzsteigerung,13,0,0,7,2,0,0,0,0,4,0
Branche,13,0,0,8,2,0,0,0,0,3,0
Gemeindefinanzwirtschaft,13,0,0,2,5,1,0,0,0,5,0
Systemplattform,13,0,0,1,5,0,5,0,0,2,0
Alterung,13,0,0,1,5,0,1,0,0,2,4
Pflanzengesellschaft,13,0,0,4,1,0,0,0,0,6,2
Fotochemie,13,0,0,3,9,0,0,0,0,1,0
Kinematik,13,0,0,6,4,0,0,0,0,1,2
Strömungsmesstechnik,13,0,0,0,4,0,2,0,3,4,0
Lehrplan,13,0,0,9,3,0,0,0,0,1,0
Optoelektronisches Bauelement,13,0,0,1,10,0,0,0,0,2,0
Carbon dioxide capture and storage,13,0,0,3,7,0,1,0,1,0,1
Leseverhalten,13,0,0,6,1,1,1,1,1,2,0
Fehlerverhütung,13,0,0,9,2,0,0,0,0,2,0
Informatikunterricht,13,0,0,8,3,0,0,0,0,2,0
Nationalpark,13,0,0,7,4,0,0,0,0,1,1
Parabolische Differentialgleichung,13,0,0,1,12,0,0,0,0,0,0
Filmwirtschaft,13,0,0,4,7,0,0,0,0,1,1
Feindbild,13,0,0,4,0,2,0,0,0,7,0
Leistungssport,13,0,0,8,2,0,0,0,0,3,0
Familientherapie,13,0,0,12,1,0,0,0,0,0,0
Kollisionsrecht,13,0,0,0,1,0,0,0,0,9,3
Qualifikation,13,0,0,3,9,0,0,1,0,0,0
Direkteinspritzung,13,0,0,4,0,3,0,0,4,2,0
Tertiärbereich,13,0,0,2,10,1,0,0,0,0,0
Arbeitsverhältnis,13,0,0,6,0,1,0,0,1,5,0
Mehrskalenanalyse,13,0,0,1,5,0,6,0,0,1,0
Regionale Disparität,13,0,0,2,4,0,0,0,0,5,2
Grundeigentum,13,0,0,6,5,0,0,0,1,1,0
Getto,13,0,0,11,2,0,0,0,0,0,0
Internationalität,13,0,0,8,1,1,1,1,0,1,0
Tunnelbau,13,0,0,3,6,0,3,0,0,1,0
Multisensor,13,0,0,0,5,1,2,0,2,1,2
Euthanasie Nationalsozialismus,13,0,0,8,0,1,0,1,0,3,0
Radiofrequenzbereich,13,0,0,0,11,0,0,0,0,0,2
Drogenabhängigkeit,13,0,0,7,3,0,0,1,1,0,1
Tragödie,13,0,0,6,3,0,0,0,0,2,2
Fluoreszenz,13,0,0,0,4,0,1,0,0,6,2
Weltwirtschaftsordnung,13,0,0,7,4,0,1,0,0,1,0
Fullerene,13,0,0,1,9,0,1,0,0,1,1
Deutschlandbild,13,0,0,8,0,2,0,1,0,2,0
Erwartung,13,0,0,5,2,1,0,0,0,3,2
Sekte,13,0,0,11,2,0,0,0,0,0,0
Christliche Kunst,13,0,0,7,3,2,0,0,1,0,0
Rind,13,0,0,0,0,0,0,0,0,13,0
Straftat,13,0,0,3,2,0,0,0,0,7,1
Plasmawelle,13,0,0,0,8,0,1,0,0,1,3
Fabrikplanung,13,0,0,11,0,0,0,0,1,1,0
Statistische Thermodynamik,12,0,0,2,8,0,0,0,1,0,1
Schaf,12,0,0,0,0,0,1,0,0,10,1
Meinungsbildung,12,0,0,5,1,1,0,0,0,5,0
Medienforschung,12,0,0,8,2,0,0,1,0,1,0
Kollektive Sicherheit,12,0,0,3,5,0,0,0,2,1,1
Information warfare,12,0,0,4,5,0,1,1,0,1,0
Ionenstrahl,12,0,0,0,6,0,0,0,1,4,1
Schulden,12,0,0,5,3,0,0,1,0,3,0
Terahertzbereich,12,0,0,0,9,0,1,0,0,1,1
Elektromagnetische Strahlung,12,0,0,0,10,0,0,0,0,2,0
Lipidmembran,12,0,0,0,4,0,1,0,0,1,6
Überkritischer Zustand,12,0,0,0,9,0,0,0,1,1,1
Öffentlicher Auftrag,12,0,0,5,2,0,0,0,0,5,0
Regelungstheorie,12,0,0,0,9,0,0,0,1,2,0
Anglistik,12,0,0,5,4,1,1,0,1,0,0
Umsatzsteuerrecht,12,0,0,8,0,0,0,0,0,4,0
Kalman-Filter,12,0,0,1,7,0,0,0,0,3,1
Kleben,12,0,0,6,6,0,0,0,0,0,0
Farbensehen,12,0,0,5,3,0,0,0,0,4,0
Relativistischer Effekt,12,0,0,0,7,0,2,0,0,0,3
Molekulardesign,12,0,0,0,6,0,1,0,1,2,2
Metallurgie,12,0,0,4,6,0,1,0,0,0,1
Ost-West-Beziehungen,12,0,0,6,3,0,1,1,0,1,0
Mitarbeitergespräch,12,0,0,11,0,0,0,1,0,0,0
Führungspsychologie,12,0,0,11,0,0,0,0,1,0,0
Glaubwürdigkeit,12,0,0,8,2,1,0,0,0,1,0
Deportation,12,0,0,7,2,2,0,1,0,0,0
Kloster,12,0,0,5,2,3,1,1,0,0,0
Innenraum,12,0,0,3,8,1,0,0,0,0,0
Hören,12,0,0,4,4,2,1,0,0,1,0
Steuerplanung,12,0,0,3,2,0,0,0,0,7,0
Schlüsselqualifikation,12,0,0,9,1,0,0,0,0,2,0
Schaltung,12,0,0,6,6,0,0,0,0,0,0
Evaluationsforschung,12,0,0,10,2,0,0,0,0,0,0
RNS,12,0,0,0,9,0,0,0,0,2,1
Immaterielles Wirtschaftsgut,12,0,0,7,0,1,0,0,0,3,1
Fehlende Daten,12,0,0,1,10,0,0,0,0,1,0
Diversifikation,12,0,0,3,4,0,0,0,0,3,2
Funktion Mathematik,12,0,0,1,8,0,1,0,0,2,0
Kritisches Phänomen,12,0,0,0,4,0,2,0,0,2,4
Geistesgeschichte,12,0,0,9,3,0,0,0,0,0,0
Diplomatische Beziehungen,12,0,0,4,3,0,0,1,0,4,0
Lokalisation,12,0,0,0,3,0,3,0,0,4,2
Fälschung,12,0,0,6,2,3,0,0,0,1,0
Strahlenschutz,12,0,0,7,5,0,0,0,0,0,0
Hamilton-Formalismus,12,0,0,1,10,0,1,0,0,0,0
Chemometrie,12,0,0,1,10,0,0,0,0,0,1
Bauindustrie,12,0,0,3,8,0,0,0,0,0,1
Bauer,12,0,0,6,6,0,0,0,0,0,0
Vereinheitlichung,12,0,0,2,9,0,0,0,0,1,0
Kulturgüterschutz,12,0,0,3,6,0,2,0,0,1,0
Religiöse Bildung,12,0,0,9,1,2,0,0,0,0,0
Akteur,12,0,0,8,0,0,1,0,0,3,0
Gerichtsberichterstattung,12,0,0,5,1,1,0,0,0,4,1
Designer,12,0,0,5,5,0,1,0,0,1,0
Pädagogische Anthropologie,12,0,0,8,0,2,0,1,0,1,0
Vermarktung,12,0,0,6,4,0,0,0,0,2,0
Außenwirtschaftstheorie,12,0,0,6,4,0,0,1,0,1,0
Prädiktive Regelung,12,0,0,1,7,0,1,0,0,2,1
Staatsbürger,12,0,0,2,7,2,0,0,0,1,0
Schulleitung,12,0,0,7,0,0,0,0,0,5,0
Kommunikationspolitik,12,0,0,8,2,0,0,0,0,2,0
Arzneimittelforschung,12,0,0,3,8,0,0,0,0,1,0
Rentenversicherung,12,0,0,4,6,0,0,0,0,0,2
Zuschauer,12,0,0,2,3,1,0,0,0,4,2
Altengerechtes Bauen,12,0,0,6,2,0,0,3,0,1,0
Metallorganische Verbindungen,12,0,0,1,9,0,1,0,0,0,1
Übergangsmetallkomplexe,12,0,0,0,6,0,0,0,0,3,3
Informationelles Selbstbestimmungsrecht,12,0,0,1,0,0,0,0,0,10,1
Wasserhaushalt,12,0,0,4,4,0,0,0,0,2,2
Historismus,12,0,0,7,0,1,0,0,0,4,0
Auslandsmarkt,12,0,0,12,0,0,0,0,0,0,0
Dialog,12,0,0,10,0,0,0,1,0,0,1
Umgangsformen,12,0,0,11,0,0,0,0,0,1,0
Zweidimensionales Material,12,0,0,0,8,0,1,0,0,0,3
Umweltplanung,12,0,0,5,5,1,0,0,0,0,1
Sittliche Erziehung,12,0,0,9,0,0,1,0,0,1,1
Hydroaminierung,12,0,0,0,0,0,0,0,0,8,4
Menschenhandel,12,0,0,3,3,1,0,1,0,3,1
Erzieherin,12,0,0,6,0,0,0,0,0,6,0
Drei-Fünf-Halbleiter,12,0,0,0,5,0,0,0,0,4,3
Netzstabilität Elektrische Energietechnik,12,0,0,2,4,1,0,0,0,5,0
Grafik,12,0,0,4,5,3,0,0,0,0,0
Kautschuk,12,0,0,4,3,0,0,0,0,2,3
Lebensmitteluntersuchung,12,0,0,4,6,0,0,1,0,0,1
Diskretes System,12,0,0,2,5,0,4,0,0,1,0
Prüftechnik,12,0,0,7,3,0,0,0,1,1,0
Landnahme,12,0,0,6,4,0,0,0,0,2,0
Distributionslogistik,12,0,0,8,3,0,0,0,0,1,0
Humanitäre Intervention,12,0,0,4,5,0,0,0,0,3,0
Schwarze Motiv,12,0,0,1,9,1,0,0,0,1,0
Programmverifikation,12,0,0,0,1,0,8,0,1,0,2
Fallstudiensammlung,12,0,0,4,7,0,0,0,0,1,0
Science-Fiction-Literatur,12,0,0,1,9,0,0,0,0,1,1
Religionskritik,12,0,0,7,0,2,1,0,0,2,0
Nervensystem,12,0,0,5,7,0,0,0,0,0,0
Wafer,12,0,0,0,0,0,0,0,8,4,0
Fluid,12,0,0,0,8,0,1,0,2,1,0
Handlungsspielraum,12,0,0,6,1,2,0,0,0,3,0
Himmelsmechanik,12,0,0,1,10,0,1,0,0,0,0
Pathogener Mikroorganismus,12,0,0,0,6,0,0,0,1,2,3
Zufall,12,0,0,7,3,1,0,0,0,1,0
Tsunami,12,0,0,0,5,0,4,0,0,2,1
Novemberrevolution,12,0,0,10,0,0,0,1,0,1,0
Ultraschall,12,0,0,1,7,0,0,1,0,3,0
Die Rechte,12,0,0,6,3,1,0,0,0,1,1
Rentenreform,12,0,0,3,2,0,1,0,0,2,4
Beteiligungsfinanzierung,12,0,0,8,1,0,0,0,0,2,1
Seismologie,12,0,0,0,6,0,2,0,0,0,4
Chemisches Element,12,0,0,6,5,0,0,0,1,0,0
Gefahrstoff,12,0,0,3,4,0,2,0,2,1,0
Elektrische Anlage,12,0,0,10,1,0,0,1,0,0,0
Eigenschaft,12,0,0,7,3,0,0,0,0,1,1
Biocomputer,12,0,0,0,3,0,9,0,0,0,0
Nichtkommutative Geometrie,12,0,0,0,6,0,5,0,0,0,1
Genossenschaft,12,0,0,5,1,1,0,0,0,5,0
Filmanalyse,12,0,0,5,3,1,0,1,0,2,0
Sportsoziologie,12,0,0,9,3,0,0,0,0,0,0
Hexenverfolgung,12,0,0,7,3,1,0,0,0,1,0
Theaterpädagogik,12,0,0,5,0,2,0,0,0,5,0
Internationales Zivilprozessrecht,12,0,0,3,2,1,0,0,0,4,2
König,12,0,0,6,4,0,0,0,0,2,0
Einkommensteuerrecht,12,0,0,6,0,0,0,0,0,5,1
Unbewusstes,12,0,0,6,3,0,1,0,0,2,0
Baukosten,12,0,0,9,1,0,0,1,0,1,0
Friedensbemühung,12,0,0,4,2,1,1,0,0,1,3
Polynom,12,0,0,0,9,0,2,0,0,0,1
Gassensor,12,0,0,0,2,0,0,0,3,7,0
Dissipatives System,12,0,0,0,8,0,1,0,0,1,2
Unterhaltungsmathematik,12,0,0,3,7,0,0,1,1,0,0
Rechtsnorm,12,0,0,4,0,0,0,0,0,5,3
Hauspflege,12,0,0,4,1,0,0,0,0,6,1
Bildung für nachhaltige Entwicklung,12,0,0,10,1,1,0,0,0,0,0
Verb,12,0,0,2,5,0,2,0,0,2,1
Agrarrecht,12,0,0,3,1,3,1,0,0,3,1
Duales System,12,0,0,5,1,1,0,0,0,4,1
Wortbildung,12,0,0,6,4,0,1,0,0,1,0
Verbot,12,0,0,3,0,0,0,0,0,6,3
Außerschulische Bildung,12,0,0,9,0,0,0,0,0,2,1
Motorrad,12,0,0,11,1,0,0,0,0,0,0
Technische Mathematik,12,0,0,8,3,0,0,1,0,0,0
Obdachlosigkeit,12,0,0,5,3,0,1,1,0,2,0
Rassentheorie,12,0,0,3,6,1,0,0,0,2,0
Weltanschauung,12,0,0,4,0,1,0,2,0,5,0
Markenwert,12,0,0,7,0,0,0,0,0,5,0
Sufismus,12,0,0,1,8,0,0,0,3,0,0
Audiotechnik,12,0,0,7,3,0,0,2,0,0,0
Religion Motiv,12,0,0,4,3,3,0,0,1,0,1
Rekultivierung,12,0,0,3,4,2,1,0,1,1,0
Zerstörung,12,0,0,4,7,0,0,0,0,0,1
Islamischer Religionsunterricht,12,0,0,4,0,1,0,1,0,6,0
Kriegsende,12,0,0,8,2,0,0,2,0,0,0
Darstellung,12,0,0,2,5,1,1,0,0,3,0
Medienkunst,12,0,0,4,6,0,0,1,0,0,1
Politisches Verhalten,12,0,0,3,2,1,1,0,0,5,0
Vielkörperproblem,12,0,0,0,9,0,0,0,2,1,0
Einflussgröße,12,0,0,2,4,0,0,0,0,4,2
Hyperbolische Differentialgleichung,12,0,0,0,11,0,1,0,0,0,0
Reorganisation,12,0,0,9,0,0,0,0,0,3,0
Reiseliteratur,12,0,0,0,5,1,0,0,0,6,0
Informationspflicht,12,0,0,1,0,0,0,0,0,11,0
Flughafen,12,0,0,6,6,0,0,0,0,0,0
Pädagogikstudium,12,0,0,10,0,0,0,0,0,0,2
Politische Theologie,12,0,0,4,2,2,0,0,0,3,1
Entführung,12,0,0,11,1,0,0,0,0,0,0
Granulärer Stoff,12,0,0,0,6,0,3,1,0,0,2
Gewinn,12,0,0,3,4,2,0,0,0,3,0
Laserimpuls,12,0,0,0,2,0,0,0,1,2,7
Rechtsreform,12,0,0,3,2,1,0,0,0,4,2
Psychodynamik,12,0,0,11,1,0,0,0,0,0,0
Gesunde Ernährung,12,0,0,9,2,0,0,1,0,0,0
jQuery,12,0,0,2,10,0,0,0,0,0,0
Cyberattacke,12,0,0,4,6,0,1,1,0,0,0
Hof,12,0,0,6,2,1,0,0,0,2,1
Primzahl,12,0,0,5,6,0,0,1,0,0,0
Flugregelung,12,0,0,2,9,0,0,0,1,0,0
Musiktherapie,12,0,0,6,0,1,0,1,0,4,0
Schrumpfen,12,0,0,3,2,2,0,1,0,3,1
Organischer Abfall,12,0,0,1,7,0,0,1,0,1,2
Polymerase-Kettenreaktion,12,0,0,1,3,0,0,0,0,5,3
Abschaffung,12,0,0,4,7,0,0,0,0,1,0
Abolitionismus,12,0,0,1,10,0,0,0,1,0,0
Gentechnisch veränderter Organismus,12,0,0,5,4,0,0,0,3,0,0
Atlas,12,0,0,6,6,0,0,0,0,0,0
Lebensgefühl,12,0,0,10,0,1,0,0,0,1,0
Ruby Programmiersprache,12,0,0,0,11,0,0,0,1,0,0
Machtstruktur,12,0,0,8,2,0,0,0,0,0,2
Neubau,12,0,0,11,1,0,0,0,0,0,0
Synthetische Apertur,12,0,0,0,8,0,0,0,1,1,2
SolidWorks,12,0,0,9,1,0,0,2,0,0,0
Religiöser Konflikt,12,0,0,4,2,3,1,0,0,0,2
Informationsmodellierung,12,0,0,7,2,0,3,0,0,0,0
Information und Dokumentation,12,0,0,10,2,0,0,0,0,0,0
Kernkompetenz,12,0,0,5,1,0,0,2,0,2,2
Neuroökonomik,12,0,0,5,5,0,0,0,0,2,0
Kartellverstoß,12,0,0,0,1,0,0,0,0,9,2
Angewandte Psychologie,12,0,0,11,1,0,0,0,0,0,0
Gottesfrage,12,0,0,9,1,0,0,2,0,0,0
Nutzen,12,0,0,2,2,0,1,1,0,5,1
Beilegung,12,0,0,2,1,0,0,0,0,7,2
CVD-Verfahren,12,0,0,0,6,0,0,0,0,3,3
Streik,12,0,0,6,3,0,0,0,1,2,0
Selbstbezüglichkeit,12,0,0,7,1,0,0,0,0,3,1
Faserverbundwerkstoff,12,0,0,2,4,0,0,0,1,1,4
Dritter,12,0,0,0,0,1,0,0,0,8,3
Hexenprozess,12,0,0,8,3,0,0,0,0,1,0
Papierherstellung,12,0,0,6,3,0,1,0,1,1,0
Papier,12,0,0,9,3,0,0,0,0,0,0
Unabhängigkeitsbewegung,12,0,0,6,3,0,0,0,1,1,1
Projektunterricht,12,0,0,12,0,0,0,0,0,0,0
Elternschaft,12,0,0,5,3,0,0,0,0,4,0
Familienleben,12,0,0,7,3,0,0,0,0,2,0
Strukturgeologie,12,0,0,1,10,0,0,0,0,0,1
Galvanotechnik,12,0,0,6,5,0,0,0,0,1,0
Bauteil,12,0,0,7,2,0,0,0,1,0,2
Patentschutz,12,0,0,8,1,0,0,0,0,3,0
Neoklassische Theorie,12,0,0,3,4,0,0,0,0,5,0
Kapitalmarkttheorie,12,0,0,6,3,0,1,0,0,1,1
Behörde,12,0,0,3,0,0,1,0,0,8,0
Partnerschaft,12,0,0,6,2,0,0,0,1,3,0
Theaterbau,12,0,0,0,8,2,1,0,0,1,0
Sobolev-Raum,12,0,0,0,10,0,0,0,1,0,1
Kristallwachstum,12,0,0,0,5,0,1,0,1,4,1
Steuerungstechnik,12,0,0,7,1,2,0,0,0,2,0
Menschenrechtspolitik,12,0,0,7,3,0,0,0,1,1,0
Informationstechnische Industrie,12,0,0,7,4,0,0,0,0,1,0
Digitale Videotechnik,12,0,0,4,7,0,0,1,0,0,0
Fahrzeug,12,0,0,2,2,0,2,0,2,3,1
Konstruktivismus Soziologie,12,0,0,7,0,0,0,0,0,5,0
Postkommunismus,12,0,0,4,3,0,0,0,0,5,0
Forschungskooperation,12,0,0,4,2,0,0,0,1,5,0
Architekturmodell,12,0,0,5,3,1,1,0,0,1,1
Röntgenspektroskopie,12,0,0,0,3,0,0,0,0,5,4
Softwareproduktionsumgebung,12,0,0,3,7,0,0,0,0,2,0
Wohnungspolitik,12,0,0,4,4,2,0,0,0,2,0
Fläche,12,0,0,0,10,0,0,0,2,0,0
Synagoge,12,0,0,3,5,1,0,0,0,0,3
Realismus,12,0,0,1,9,0,0,0,0,2,0
Bibliotheksbestand,12,0,0,8,0,3,0,0,0,1,0
