Subject,Overall Frequency,bau,mas,arc,phy,elt,inf,tec,oek,sow,jur,mat,pae,hor,meda,rest,geo,fer,lit,phi,his,ver,lin,cet,che,bio,rel,spo,ber,med
Stochastisches System,25,0,0,0,2,2,5,4,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wirtschaftswissenschaftliches Studium,25,0,0,0,0,0,0,1,11,1,0,3,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ausbeutung,25,0,0,0,0,0,0,0,6,9,2,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0
Stärke,25,1,1,1,1,0,0,0,1,1,0,0,1,5,0,1,0,1,0,0,0,0,0,6,4,1,0,0,0,0
Digitale Videotechnik,25,0,0,0,0,11,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessment-Center,25,0,0,0,0,0,0,0,10,10,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Personalisierung,25,0,0,0,0,0,12,0,3,5,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strafrechtstheorie,25,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Minderjähriger,25,0,0,0,0,0,0,0,0,4,12,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Molekülspektroskopie,25,0,0,0,9,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0
Nanooptik,25,0,0,0,12,7,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verbot,25,0,0,0,0,0,0,1,0,4,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Sexualdelikt,25,0,0,0,0,0,0,1,0,8,9,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
Wissensverarbeitung,25,0,0,2,0,0,16,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
OLED,25,0,0,0,5,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0
Innenraum,25,2,0,14,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Gestein,25,4,0,1,2,0,0,0,0,0,0,1,0,0,0,0,12,1,1,0,1,0,0,1,0,0,0,0,1,0
Diskrete Geometrie,25,0,1,0,0,1,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piezoelektrischer Aktor,25,0,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Identitätspolitik,25,0,0,0,0,0,0,0,0,16,4,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Kristallstrukturanalyse,25,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,3,0,0,0,0
Betriebswirtschaftliches Studium,25,0,0,0,0,0,0,0,12,1,0,3,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hochwasser,25,5,0,1,2,0,0,1,0,1,0,0,0,0,0,1,12,0,0,0,1,0,0,1,0,0,0,0,0,0
Gefahrstoff,25,1,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0
Funktionalisierung Chemie,25,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,13,0,0,0,0,1
Nanoporöser Stoff,25,0,2,0,3,2,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,2,6,0,0,0,0,2
Wohngebiet,25,1,0,7,0,0,0,0,0,8,1,0,0,0,0,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0
Staatsgrenze,25,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,1,6,0,0,0,0,0,0,0,0,0
Science-Fiction,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,9,0,1,0,0,0,0,0
Mundart,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,21,0,0,0,0,0,0,0
Öffentliche Schule,25,0,0,1,0,0,0,0,0,5,2,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0
Friedensbemühung,25,0,0,0,0,0,0,1,0,11,1,0,1,0,0,0,1,0,0,1,4,0,0,0,0,0,5,0,0,0
Patriarchat,25,0,0,0,0,0,1,0,1,15,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0
Körperliche Aktivität,25,0,0,0,0,0,0,0,0,5,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
Benutzer,25,1,0,3,0,0,1,1,2,5,2,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Differenz,25,0,0,1,0,0,0,0,1,8,0,0,6,0,0,1,1,0,0,5,1,0,0,0,0,0,1,0,0,0
Stochastische partielle Differentialgleichung,25,0,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bauablauf,25,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technische Überwachung,25,13,0,2,0,3,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Postwachstumsökonomie,25,0,0,2,0,0,1,1,9,6,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0
Experteninterview,25,0,0,3,0,0,0,0,1,13,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
König,25,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,3,0,0,0
Sprachverstehen,25,0,0,0,0,0,1,0,0,3,0,0,6,0,2,0,0,0,3,0,0,1,8,0,0,0,0,0,0,1
Innovationspotenzial,25,1,0,1,0,1,2,3,10,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reparatur,25,0,0,1,0,1,3,2,4,3,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,2,0
Softwareindustrie,24,0,0,0,0,1,6,1,9,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Synagoge,24,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,5,0,0,0
Gebrochene Analysis,24,0,0,0,2,0,0,2,1,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Windows 7,24,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schriftliche Arbeit,24,0,0,0,0,0,0,1,3,0,2,0,7,0,0,4,0,0,1,0,1,0,4,0,0,1,0,0,0,0
Verfilmung,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,15,0,0,0,4,0,0,0,1,0,0,0
Schrumpfen,24,0,0,11,0,0,0,0,1,6,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0
C-Stern-Algebra,24,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constraint-Programmierung,24,0,0,0,0,0,17,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offener Unterricht,24,0,0,0,0,0,0,0,0,2,0,0,14,0,0,1,0,0,1,0,1,0,2,0,0,0,1,2,0,0
Stellensuche,24,0,0,0,0,0,0,0,10,9,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Medienwirkungsforschung,24,0,0,0,0,0,0,0,1,3,0,0,3,0,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Heroismus,24,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,2,4,0,4,0,0,0,1,0,0,0
Aerosol,24,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,9,2,0,0,1,0,0,5,4,0,0,0,0,0
Rendering,24,0,0,1,0,0,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gottesdienst,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,19,0,0,0
Unternehmerin,24,0,0,0,0,0,0,0,12,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Militärtechnik,24,0,1,0,1,1,0,6,0,4,3,0,0,0,0,1,0,1,0,0,4,2,0,0,0,0,0,0,0,0
Röntgendiffraktometrie,24,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,9,0,0,0,0,0
Externer Effekt,24,0,2,1,0,0,0,0,10,4,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Polyelektrolyt,24,0,0,0,6,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,9,0,0,0,0,0
Rentenreform,24,0,0,0,0,0,0,0,6,13,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mehrskalenanalyse,24,1,0,0,4,0,2,2,0,0,0,12,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fußgängerverkehr,24,1,0,8,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0
Wafer,24,0,2,0,7,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wirtschafts- und Währungsunion,24,0,0,0,0,0,0,0,10,10,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Erdgasgewinnung,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,5,3,0,0,0,10,0
Islamische Philosophie,24,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,13,0,0,0
Technologieunternehmen,24,0,0,0,0,0,1,2,10,3,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zugang,24,0,0,3,0,0,3,0,0,3,4,0,5,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Beschäftigungswirkung,24,0,0,0,0,0,0,0,18,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Röntgenspektroskopie,24,0,0,0,13,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0
Informationsvermittlung,24,0,0,0,0,1,5,0,0,1,0,0,2,0,0,12,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Industrieabwasser,24,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Abschaffung,24,0,0,0,0,0,0,0,2,5,2,0,2,0,0,0,0,0,1,0,11,0,0,0,0,0,1,0,0,0
Topologische Phase,24,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Stadtgrün,24,3,0,17,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wohnung,24,2,0,13,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0
Mean-Field-Theorie,24,0,0,0,13,0,1,1,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Medienforschung,24,0,0,0,0,0,2,0,0,2,0,0,7,0,0,7,0,0,2,0,0,0,2,0,0,0,1,1,0,0
Physikalisches System,24,0,0,0,9,0,1,4,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fußballverein,24,0,0,0,0,0,0,0,6,3,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0
Penetrationstest,24,0,0,0,0,0,21,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softwarewerkzeug,24,0,0,0,0,0,15,0,2,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wirtschaftsstruktur,24,0,1,2,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Symmetriebrechung,24,0,0,0,15,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Holzwerkstoff,24,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,1,0,0,0,0,0
Soziophysik,24,0,0,0,11,0,0,0,7,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Rauigkeit,24,1,3,0,11,0,0,4,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
Metrischer Raum,24,0,0,0,0,0,0,1,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Umweltplanung,24,1,1,6,0,0,1,0,5,0,2,0,0,0,0,1,2,0,0,0,3,0,0,2,0,0,0,0,0,0
Mais,24,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,1,0,0,1,1,11,0,0,0,0
Kurs,24,0,0,0,0,0,3,0,2,5,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Praktikum,24,0,0,0,7,0,0,0,3,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Hexenglaube,24,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0
Rastertunnelmikroskopie,24,0,0,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Arbeitsmedizin,24,1,0,1,0,0,1,4,3,2,0,0,3,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropfen,24,0,5,0,6,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,4,0,0,0,0,0
Portugiesisch,24,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0
Umsiedlung,24,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,2,0,1,0,10,0,0,0,0,1,0,0,1,0
Moderation,24,0,0,0,0,0,1,0,5,4,0,3,8,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Zeitarbeit,24,0,0,0,0,0,0,2,8,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zufall,24,0,0,0,2,0,1,1,0,0,3,6,2,0,0,4,0,0,0,3,1,0,0,0,0,0,0,1,0,0
Programmanalyse,24,0,0,0,0,0,22,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gewässer,24,2,0,5,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,4,2,3,0,0,0,0
Sozialwesen,24,0,0,0,0,0,0,0,2,8,2,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultraviolett,24,0,0,0,5,0,0,0,0,0,0,1,0,1,4,0,2,1,0,0,0,0,0,4,1,3,0,0,0,2
Das Andere,24,0,0,1,0,0,0,0,1,6,0,0,1,0,0,3,2,0,6,0,1,0,3,0,0,0,0,0,0,0
Europabild,24,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,1,0,9,0,1,0,0,0,0,0,0,0
Öffentlicher Verkehr,24,0,0,6,0,0,0,0,5,1,1,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Lehmbau,24,14,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Systemplattform,24,0,0,0,0,1,14,2,3,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Sexuelle Belästigung,24,0,0,0,0,0,0,0,2,10,3,0,5,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Unterrichtsorganisation,24,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanomedizin,24,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,0,0,5,0,1,0,0,0,8
Psychosomatische Krankheit,24,0,0,0,0,0,0,0,0,1,0,0,12,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fahrrad,24,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0
Bildungsplanung,24,0,0,1,0,0,0,0,2,2,1,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALDI-MS,24,2,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0
Angewandte Ethik,24,0,0,0,0,0,0,4,2,3,1,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0
Fehlende Daten,24,0,0,0,0,0,2,0,1,6,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scham,24,0,0,0,0,0,0,0,0,11,0,0,8,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0
Integrative Schule,24,0,0,0,0,0,0,0,1,5,0,1,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Riemannsche Geometrie,24,0,0,0,2,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nahfeldoptik,24,0,0,0,10,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
Steuerreform,24,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galvanotechnik,24,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,0,0,0,0
Sozialer Aufstieg,24,0,0,0,0,0,0,0,2,9,0,0,6,1,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0
Präsidentenwahl,24,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Kommunikationsforschung,24,0,0,0,0,0,1,1,1,10,0,0,3,0,0,3,0,0,1,1,2,0,0,0,0,0,1,0,0,0
Erfolgskontrolle,24,0,0,0,0,0,2,0,8,4,3,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Schönheitsideal,24,0,0,0,0,0,0,0,2,13,0,0,2,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0
Expansionspolitik,24,0,0,0,0,0,0,1,2,8,0,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0
Programmverifikation,24,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technische Membran,24,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11,5,0,0,0,0,1
Kindergartenpädagogik,24,0,0,0,0,0,0,0,0,5,0,1,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Standortbezogener Dienst,24,0,0,0,0,6,9,0,4,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
Familienleben,24,0,0,0,0,0,0,0,3,11,0,0,2,0,0,2,0,0,1,1,4,0,0,0,0,0,0,0,0,0
Verwaltungshandeln,24,0,0,0,0,0,0,1,2,12,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Verteilung,24,0,0,0,1,0,2,0,6,4,5,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Sinne,24,0,0,2,1,0,1,0,3,1,0,0,9,0,1,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0
Röntgenstrahlung,24,0,1,1,12,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
Medizinsoziologie,24,0,0,0,0,0,0,0,0,8,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grundschulpädagogik,24,0,0,0,0,0,0,0,0,5,0,1,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Die Rechte,24,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Friedenserziehung,24,0,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0
Schwarze Motiv,24,0,0,0,0,0,0,0,0,4,0,0,2,0,0,3,0,0,10,0,4,0,1,0,0,0,0,0,0,0
Betriebliche Ausbildung,24,0,0,0,0,0,0,0,7,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferroelektrikum,24,0,0,0,13,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
Orthodoxe Kirche,24,0,1,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0
Randgruppe,24,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0
Selbstregulation,24,0,1,0,0,0,0,0,3,3,5,0,8,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Superkondensator,24,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0
Signaltheorie,24,0,1,0,0,19,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waldökosystem,24,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,2,0,0,0,0,0,0,2,0,5,0,0,0,0
Hof,24,0,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,13,0,1,0,0,0,1,0,0,0
Python 3.0,24,0,0,0,0,0,20,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bildung für nachhaltige Entwicklung,24,0,0,0,0,0,0,1,2,2,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strukturreform,24,0,0,1,0,0,0,1,8,2,2,1,0,0,1,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0
Speicherprogrammierte Steuerung,24,1,1,0,0,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Markenartikel,24,0,0,0,0,0,0,0,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemüsebau,24,0,0,1,0,0,0,0,0,1,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Textilindustrie,24,0,1,0,0,0,0,1,7,1,0,0,2,1,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0
Zeichnung,24,0,0,5,1,0,0,0,0,1,0,1,2,0,0,6,1,0,5,0,2,0,0,0,0,0,0,0,0,0
Auslandsmarkt,24,0,0,0,0,0,0,0,17,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biokunststoff,24,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,6,1,1,0,0,0,0
Leistungsprinzip,24,0,0,0,0,0,0,1,7,8,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Werbewirkung,24,0,0,0,0,0,0,1,19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Feuchtigkeitsschutz,24,13,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dachbegrünung,24,10,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Finanztechnologie,24,0,0,0,0,0,2,1,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aktienmarkt,24,0,0,0,0,0,0,0,17,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Politische Psychologie,24,0,0,0,0,0,0,0,1,13,1,0,4,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Hobbyelektronik,24,0,0,0,1,10,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fahrerverhalten,24,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
Einkommensteuerrecht,24,0,0,0,0,0,0,0,8,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information warfare,24,0,0,0,0,0,8,4,0,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maschinenbauindustrie,24,0,3,0,0,0,1,3,14,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lumineszenz,24,0,0,0,5,3,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,1
Expedition,24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,7,0,8,0,0,0,0,0,0,0,0,0
Quantenkryptologie,24,0,0,0,8,4,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hang,24,5,0,2,0,0,0,0,0,4,0,0,4,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
Genom,24,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0
Arzthaftung,24,0,0,0,0,0,0,0,1,0,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton-Formalismus,24,0,0,0,11,1,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oktoberrevolution,24,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0
Obstbau,24,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Elektronisches Buch,24,0,0,0,0,0,2,2,5,0,2,0,2,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Objekterkennung,24,0,0,0,0,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
Bestattung,24,0,0,1,0,0,0,0,0,4,0,0,0,1,4,0,0,0,1,1,5,0,0,0,0,0,7,0,0,0
Gemeindearbeit,24,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Schadensersatz,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ästhetische Erziehung,24,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,2,0,0,2,0,0,0,1,1,0,0
Fachwerkbau,24,13,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varianzanalyse,24,0,0,0,0,0,1,3,3,2,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rentenversicherung,24,0,0,0,0,0,0,0,6,11,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
